id_logger,date_time,tt4_min,tt4_avg,tt4_max,rh4_min,rh4_avg,rh4_max,ws4_min,ws4_avg,ws4_max,wd4_min,wd4_avg,wd4_max,tt7_min,tt7_avg,tt7_max,rh7_min,rh7_avg,rh7_max,ws7_min,ws7_avg,ws7_max,wd7_min,wd7_avg,wd7_max,tt10_min,tt10_avg,tt10_max,rh10_min,rh10_avg,rh10_max,ws10_min,ws10_avg,ws10_max,wd10_min,wd10_avg,wd10_max,sum_ws4,sum_ws7,sum_ws10,tt4_now,rh4_now,ws4_now,wd4_now,tt7_now,rh7_now,ws7_now,wd7_now,tt10_now,rh10_now,ws10_now,wd10_now
STI1005,2024-01-01 00:00:00,26.02,26.62,27.22,81.36,82.99,84.1,0.07,0.73,1.38,6.08,93.82,359.96,27.1,27.86,28.24,83.27,84.58,85.67,0.0,0.66,1.24,7.66,91.79,359.42,27.1,28.02,28.65,84.95,86.73,88.75,0.14,0.58,1.1,7.06,110.87,355.04,401.16,362.07,319.92,26.79,81.71,0.9,81.74,28.08,83.78,0.69,81.96,28.08,85.3,0.62,112.56
STI1005,2024-01-01 00:10:00,26.1,26.92,27.39,80.1,81.01,81.77,0.28,0.95,1.72,18.01,89.03,141.52,27.1,28.09,28.49,82.1,83.05,83.94,0.07,0.9,1.52,9.31,100.56,349.73,27.1,28.34,28.84,84.1,85.26,86.64,0.07,0.81,1.38,14.84,110.89,359.42,521.31,496.45,445.68,27.1,81.11,0.48,107.63,28.08,83.37,0.48,71.06,28.68,85.49,0.14,106.76
STI1005,2024-01-01 00:20:00,26.1,27.06,27.56,80.99,82.15,83.07,0.21,0.78,1.93,10.13,101.74,356.35,27.1,28.17,28.54,82.1,84.24,85.31,0.07,0.69,1.72,7.66,112.02,359.69,27.1,28.43,28.98,85.47,87.19,88.73,0.07,0.55,1.59,6.35,128.26,358.71,429.43,379.88,300.37,27.15,83.01,0.76,126.96,28.26,84.94,0.55,126.19,28.33,87.8,0.14,107.03
STI1005,2024-01-01 00:30:00,26.78,27.45,28.07,81.1,82.02,82.9,0.14,0.66,1.86,11.88,220.91,359.86,28.06,28.67,29.42,83.1,84.02,84.94,0.0,0.58,2.07,7.01,218.68,357.56,28.01,28.88,29.7,84.9,86.38,88.51,0.07,0.56,1.79,6.84,224.09,358.71,361.45,321.61,306.7,27.7,81.81,1.1,338.45,29.36,83.59,1.24,340.75,29.28,85.6,1.1,28.25
STI1005,2024-01-01 00:40:00,27.05,27.69,28.31,80.1,81.0,81.66,0.0,0.48,1.03,4.98,123.25,359.96,28.1,29.11,29.92,82.01,82.96,83.78,0.0,0.5,1.03,5.86,123.9,359.96,28.1,29.19,29.93,82.74,83.82,85.15,0.0,0.55,1.31,6.08,105.95,359.91,263.65,277.26,304.42,28.17,81.26,0.14,257.92,29.66,82.75,0.28,127.89,29.28,83.38,0.28,205.91
STI1005,2024-01-01 00:50:00,27.1,28.1,28.64,79.1,80.14,81.41,0.07,0.84,1.72,5.64,88.78,359.75,29.1,29.58,30.1,81.1,82.24,83.44,0.21,0.83,1.66,6.24,98.26,359.8,28.73,29.52,30.14,81.1,82.3,83.6,0.14,0.79,1.59,6.02,107.93,359.96,463.32,457.8,436.6,27.96,80.49,0.9,39.97,29.59,82.66,0.76,65.2,29.36,81.84,0.83,63.45
STI1005,2024-01-01 01:00:00,27.1,27.89,28.35,80.1,80.83,81.66,0.0,0.59,1.38,6.51,114.45,359.86,28.96,29.38,29.77,82.1,82.87,83.56,0.0,0.54,1.45,6.46,117.45,358.92,28.1,29.3,29.85,81.39,82.81,83.62,0.0,0.47,1.38,6.51,126.6,359.91,326.78,296.94,259.51,27.86,80.61,0.48,323.23,29.34,82.75,0.35,249.16,29.23,82.56,0.62,230.92
STI1005,2024-01-01 01:10:00,27.1,28.32,28.89,78.84,79.93,81.75,0.0,0.77,2.0,6.41,111.89,359.58,29.1,29.65,30.18,81.01,82.17,83.77,0.0,0.75,2.0,5.8,101.01,358.1,28.1,29.68,30.18,81.1,83.05,85.09,0.07,0.64,1.79,7.06,114.73,356.9,422.69,412.07,350.47,28.7,79.17,1.66,114.04,29.54,81.56,1.66,121.43,30.17,83.74,1.38,118.75
STI1005,2024-01-01 01:20:00,27.1,28.42,29.3,74.27,77.19,78.98,0.41,1.47,2.83,22.34,145.49,349.56,28.97,29.63,30.22,76.1,79.0,80.79,0.41,1.41,2.41,32.14,146.7,359.42,29.01,29.96,30.92,77.37,80.67,83.28,0.55,1.33,2.41,34.38,155.82,266.73,812.01,775.13,735.55,28.82,75.07,1.45,100.35,29.9,76.8,1.59,196.6,30.43,78.96,1.52,238.15
STI1005,2024-01-01 01:30:00,28.1,29.14,29.64,70.87,72.32,74.37,0.48,1.79,3.31,78.07,146.65,245.49,29.1,30.16,30.58,72.91,74.47,76.13,0.28,1.63,3.11,13.3,147.7,335.99,29.93,30.69,31.33,74.88,76.62,78.99,0.28,1.36,3.31,39.97,156.35,302.75,987.39,895.71,750.36,29.44,72.31,1.03,177.05,30.53,74.69,0.55,13.3,30.91,76.18,0.83,96.14
STI1005,2024-01-01 01:40:00,28.63,29.4,30.03,69.88,72.25,74.7,0.14,1.41,2.48,34.44,157.69,238.26,29.95,30.45,30.95,72.1,74.34,76.33,0.21,1.27,2.55,50.26,160.92,284.3,29.94,30.9,31.71,74.21,76.27,79.5,0.28,1.15,2.35,9.47,161.82,242.31,776.39,700.22,633.72,29.51,71.79,0.28,162.16,30.44,73.1,0.48,230.21,31.28,76.71,0.62,235.09
STI1005,2024-01-01 01:50:00,29.1,29.74,30.25,69.1,71.08,73.84,0.41,1.66,3.93,69.58,153.47,249.87,30.1,30.83,31.34,71.31,73.17,75.52,0.48,1.57,3.31,12.43,150.95,325.04,30.48,31.29,31.91,72.62,75.34,79.71,0.28,1.28,2.97,18.89,161.32,295.96,914.03,862.52,706.83,29.79,69.71,2.97,152.75,31.18,72.05,3.17,167.53,31.28,74.17,2.41,187.18
STI1005,2024-01-01 02:00:00,29.1,29.78,30.24,68.1,69.51,71.89,0.35,1.73,4.21,82.5,154.89,286.99,30.1,30.75,31.22,70.1,71.67,73.96,0.41,1.55,3.73,22.94,159.53,324.49,30.49,31.28,31.82,71.1,74.07,77.19,0.28,1.34,3.11,31.64,170.98,292.79,951.07,854.55,739.99,29.79,70.58,1.1,147.76,30.72,72.71,1.17,148.91,31.29,74.99,0.97,155.43
STI1005,2024-01-01 02:10:00,29.1,29.9,30.42,66.97,68.25,69.4,0.48,1.42,2.55,79.99,186.26,259.72,30.1,31.02,31.5,69.46,70.75,72.19,0.21,1.33,2.48,55.68,184.54,257.7,30.48,31.31,31.96,70.35,72.59,75.08,0.28,1.12,2.0,71.61,190.98,292.57,784.49,734.44,616.84,29.99,68.56,1.03,219.04,30.97,70.94,1.03,245.54,31.06,72.24,0.83,226.65
STI1005,2024-01-01 02:20:00,29.1,30.21,30.88,65.1,67.49,69.85,0.41,1.7,3.52,74.07,154.32,264.81,30.1,31.25,31.73,67.1,69.53,72.22,0.55,1.55,3.38,22.12,152.62,252.11,30.1,31.71,32.47,69.54,71.67,74.28,0.35,1.23,2.97,66.13,168.55,289.5,938.85,852.2,677.59,30.34,66.15,2.21,181.32,31.4,68.66,1.45,188.11,32.25,69.92,0.83,203.66
STI1005,2024-01-01 02:30:00,29.63,30.35,30.83,63.1,65.68,67.83,0.07,1.23,3.11,8.21,160.43,355.04,31.04,31.41,31.77,65.83,67.89,69.75,0.07,1.14,2.97,6.46,157.95,352.68,31.1,31.88,32.44,67.1,69.49,73.11,0.14,1.01,2.14,41.83,162.35,298.76,677.11,625.9,554.96,30.34,64.42,2.14,165.28,31.27,66.53,1.72,153.79,31.88,67.51,1.72,160.9
