id_logger,date_time,tt4_min,tt4_avg,tt4_max,rh4_min,rh4_avg,rh4_max,ws4_min,ws4_avg,ws4_max,wd4_min,wd4_avg,wd4_max,tt7_min,tt7_avg,tt7_max,rh7_min,rh7_avg,rh7_max,ws7_min,ws7_avg,ws7_max,wd7_min,wd7_avg,wd7_max,tt10_min,tt10_avg,tt10_max,rh10_min,rh10_avg,rh10_max,ws10_min,ws10_avg,ws10_max,wd10_min,wd10_avg,wd10_max,sum_ws4,sum_ws7,sum_ws10,tt4_now,rh4_now,ws4_now,wd4_now,tt7_now,rh7_now,ws7_now,wd7_now,tt10_now,rh10_now,ws10_now,wd10_now
50012,2024-01-01 00:00:00,0.0,27.32,29.37,0.41,85.18,90.34,0.0,0.87,1.63,0.0,246.54,340.89,0.0,27.05,28.39,0.61,90.34,96.47,0.0,0.98,1.83,49.93,267.18,325.16,0.0,27.4,29.86,0.0,60.44,90.05,0.0,1.03,1.97,0.0,240.32,306.13,42.41,47.87,50.64,28.05,86.79,1.63,301.14,28.09,96.33,1.83,305.03,28.47,86.75,1.97,290.22
50012,2024-01-01 00:20:00,0.0,27.93,29.89,0.0,81.67,88.21,0.07,0.64,1.63,0.0,218.13,322.88,0.0,27.85,29.6,0.61,73.71,91.55,0.2,0.72,1.83,0.0,220.17,302.61,0.0,27.96,29.69,0.0,20.3,86.45,0.14,0.67,1.97,0.0,170.95,293.69,5.1,5.76,5.37,29.72,82.68,1.02,212.98,29.4,79.94,1.02,211.91,29.69,83.97,0.81,194.87
50012,2024-01-01 00:30:00,0.0,28.89,30.21,0.0,80.39,83.59,0.0,0.65,1.36,0.0,206.18,342.64,0.0,28.64,29.74,1.15,72.93,79.78,0.0,0.88,1.56,0.0,214.61,283.21,0.0,29.29,30.1,0.0,42.78,84.11,0.0,1.04,1.63,0.0,174.13,250.41,15.58,21.09,25.07,29.61,81.62,0.61,268.52,29.61,76.47,0.81,232.62,29.9,82.55,1.09,238.67
50012,2024-01-01 00:50:00,29.71,30.12,30.86,77.3,79.8,81.6,0.07,1.0,1.9,53.14,187.28,346.59,29.73,29.93,30.26,70.0,73.02,74.73,0.07,1.06,1.9,78.67,185.28,310.63,29.8,30.09,30.56,78.75,80.7,83.67,0.0,1.07,1.9,121.38,171.52,270.01,465.99,493.05,497.51,29.86,79.18,1.15,145.07,30.01,72.73,0.95,164.82,29.94,81.43,0.68,152.29
50012,2024-01-01 01:00:00,29.86,30.76,32.04,75.88,77.98,81.19,0.48,0.99,1.9,0.0,154.16,220.75,30.0,30.45,31.2,68.42,70.91,73.61,0.2,1.1,2.38,83.58,165.45,238.9,29.96,30.48,31.55,77.32,79.31,81.96,0.14,1.16,2.38,32.49,154.44,197.23,394.23,438.23,463.05,30.65,77.0,0.48,86.71,30.53,69.46,0.54,102.87,30.67,78.36,1.09,96.17
50012,2024-01-01 02:10:00,0.0,31.85,32.92,0.95,67.78,70.51,0.0,2.11,4.28,0.0,217.45,357.77,0.0,31.39,32.06,1.09,58.7,62.24,0.0,2.31,4.48,16.33,190.39,353.22,0.0,31.6,32.72,0.0,68.01,71.6,0.0,2.59,4.48,1.0,193.95,339.15,476.19,521.57,585.57,31.62,68.87,1.43,56.98,31.22,60.31,1.56,160.64,31.49,69.75,1.63,272.49
50012,2024-01-01 02:20:00,30.91,31.33,32.06,67.75,69.38,72.16,0.61,2.08,3.8,8.15,262.62,359.11,30.75,31.01,31.29,58.63,60.56,63.0,0.95,2.39,4.62,11.12,265.38,357.79,30.98,31.26,32.14,68.9,70.45,72.2,0.95,2.59,5.02,53.12,255.97,350.34,780.13,896.91,969.72,31.6,68.83,1.15,304.31,31.19,60.22,1.63,309.76,31.19,70.16,1.7,308.16
50012,2024-01-01 02:30:00,31.21,31.8,32.52,63.0,67.39,71.83,0.54,1.83,3.6,7.96,224.23,358.59,31.23,31.5,31.86,53.37,57.98,61.75,0.81,2.13,4.01,11.04,226.36,359.2,31.22,31.65,32.13,64.13,68.42,71.54,0.75,2.43,4.14,23.56,228.64,343.58,814.32,950.53,1084.63,32.0,67.01,1.77,316.97,31.29,58.9,2.24,343.34,31.44,69.46,1.63,231.69
50012,2024-01-01 03:50:00,32.29,32.81,33.84,58.82,62.85,65.98,0.54,2.07,4.01,0.0,237.69,357.22,32.0,32.4,32.87,5.0,53.21,56.37,0.81,2.36,4.48,14.42,205.41,355.58,32.21,32.62,34.12,0.0,64.02,66.82,1.15,2.47,4.82,21.61,199.63,339.81,864.79,987.86,1032.08,33.09,61.61,0.61,26.52,32.43,52.4,1.15,250.85,32.68,62.91,2.04,148.11
50012,2024-01-01 04:00:00,32.55,32.99,33.9,60.55,62.22,65.11,0.41,2.15,4.07,0.0,270.05,359.24,32.36,32.65,33.33,50.0,52.48,54.93,0.88,2.28,3.8,20.52,259.31,354.8,32.57,32.84,33.54,62.07,63.52,65.4,0.81,2.35,4.21,42.51,248.14,344.61,965.41,1024.23,1056.05,32.78,62.37,1.15,21.02,32.63,52.62,1.36,35.93,33.09,63.87,2.04,115.54
