id_logger,date_time,tt4_min,tt4_avg,tt4_max,rh4_min,rh4_avg,rh4_max,ws4_min,ws4_avg,ws4_max,wd4_min,wd4_avg,wd4_max,tt7_min,tt7_avg,tt7_max,rh7_min,rh7_avg,rh7_max,ws7_min,ws7_avg,ws7_max,wd7_min,wd7_avg,wd7_max,tt10_min,tt10_avg,tt10_max,rh10_min,rh10_avg,rh10_max,ws10_min,ws10_avg,ws10_max,wd10_min,wd10_avg,wd10_max,sum_ws4,sum_ws7,sum_ws10,tt4_now,rh4_now,ws4_now,wd4_now,tt7_now,rh7_now,ws7_now,wd7_now,tt10_now,rh10_now,ws10_now,wd10_now
STI1001,2024-01-01 00:00:00,26.68,26.85,27.13,91.1,92.38,93.06,0.0,0.44,0.91,2.33,119.9,237.8,27.13,27.37,27.71,89.1,90.29,90.74,0.0,0.23,0.83,0.69,144.28,358.9,27.44,27.69,28.16,90.14,90.64,91.28,0.08,0.48,0.91,3.92,179.94,358.3,263.32,139.18,288.66,26.93,92.31,0.83,21.22,27.4,90.39,0.58,59.71,27.65,90.56,0.66,30.64
STI1001,2024-01-01 00:10:00,26.1,27.0,27.45,91.1,92.24,92.72,0.0,0.36,1.25,3.1,50.77,237.8,27.28,27.53,27.99,90.11,90.36,90.85,0.0,0.3,0.91,0.69,70.1,358.41,27.1,27.86,28.34,90.17,90.43,91.05,0.1,0.57,1.16,4.3,84.71,358.79,218.36,182.19,341.79,27.15,92.14,0.1,47.66,27.63,90.33,0.58,53.47,28.08,90.5,0.58,63.65
STI1001,2024-01-01 00:30:00,27.27,27.65,28.14,89.1,90.21,91.06,0.0,0.66,3.73,2.44,131.57,237.14,27.1,27.95,28.54,88.1,89.26,89.9,0.0,0.7,4.32,0.69,218.96,358.9,28.03,28.49,29.09,87.1,88.26,89.14,0.0,0.65,3.32,3.92,192.44,358.57,395.31,417.75,389.09,27.83,89.6,3.73,131.76,28.34,88.39,3.15,199.37,28.53,87.59,3.15,181.52
STI1001,2024-01-01 00:40:00,26.1,26.96,28.06,87.1,88.74,89.9,1.16,3.36,6.22,63.21,109.22,143.25,27.05,27.47,28.53,85.76,86.94,88.44,1.49,3.74,6.89,91.9,162.33,217.87,27.1,27.82,29.1,84.1,86.23,87.53,1.16,3.98,7.14,82.32,161.1,227.51,2015.3,2245.17,2387.92,26.49,89.46,3.49,130.88,27.08,87.26,3.73,217.87,27.64,86.74,3.57,207.69
STI1001,2024-01-01 00:50:00,26.23,26.47,26.8,89.1,90.32,91.14,0.1,2.06,4.4,46.84,114.74,152.61,26.1,27.1,27.4,86.1,87.88,88.73,0.1,2.35,4.32,84.29,173.59,247.55,27.04,27.37,27.87,86.27,87.45,88.8,1.33,2.62,5.15,47.39,168.82,259.37,1233.42,1412.52,1573.22,26.49,91.07,1.74,122.61,27.07,88.59,1.74,187.21,27.2,88.35,2.16,166.03
STI1001,2024-01-01 01:00:00,26.27,26.41,26.68,90.1,91.68,92.4,0.1,2.31,3.98,79.2,116.77,165.26,26.8,27.03,27.34,88.1,89.24,89.91,0.1,2.5,4.65,128.09,175.56,236.38,26.96,27.26,27.7,88.1,89.13,90.07,1.25,2.67,4.65,111.55,170.67,223.95,1383.66,1498.7,1603.04,26.46,92.07,1.33,96.39,27.1,89.67,1.99,152.45,27.38,89.81,2.07,189.19
STI1001,2024-01-01 01:10:00,26.1,26.82,27.39,91.24,92.47,93.67,0.1,1.57,3.4,69.4,111.4,160.44,26.97,27.39,27.9,89.06,89.99,90.95,0.1,1.74,3.24,85.6,166.93,251.38,27.1,27.6,28.26,89.1,90.19,91.42,0.1,1.85,3.73,75.8,161.53,232.11,944.9,1043.38,1108.65,27.24,93.14,1.33,112.21,27.81,90.76,1.66,172.54,28.03,90.94,1.91,196.96
STI1001,2024-01-01 01:20:00,26.1,27.05,27.47,89.54,90.85,93.57,0.1,1.83,3.4,49.03,100.09,145.66,27.34,27.57,28.01,87.1,88.71,90.67,0.1,2.03,3.82,87.74,150.21,215.03,27.1,27.82,28.28,87.58,88.84,90.93,1.08,2.19,3.73,53.96,143.92,247.55,1096.75,1220.06,1314.9,27.29,89.87,0.1,99.45,27.69,87.83,1.66,143.85,27.1,87.74,1.83,167.51
STI1001,2024-01-01 01:30:00,26.1,27.43,27.74,87.1,89.57,92.4,0.1,1.83,3.57,26.04,82.23,131.7,27.1,27.9,28.28,86.2,87.44,89.54,0.1,1.99,4.15,49.14,123.13,224.77,27.1,28.12,28.63,85.1,87.32,89.48,0.1,2.19,3.98,40.33,120.31,196.52,1097.07,1194.9,1312.65,27.52,90.44,2.49,55.55,28.07,87.78,2.82,112.48,28.04,87.59,2.66,103.78
STI1001,2024-01-01 01:40:00,27.15,27.31,27.64,89.12,89.8,91.17,1.16,2.17,3.82,24.61,64.12,94.53,27.1,27.82,28.27,86.98,87.5,88.24,1.41,2.44,3.82,18.26,96.98,141.94,27.1,28.03,28.59,86.1,87.3,88.26,1.33,2.64,3.9,33.92,89.97,132.03,1301.5,1464.31,1585.11,27.45,90.18,1.66,86.26,27.91,88.08,2.41,135.26,27.99,87.64,1.91,92.61
STI1001,2024-01-01 02:00:00,28.12,28.34,28.82,82.1,84.63,87.44,0.1,2.22,4.65,24.94,72.99,233.04,28.1,28.76,29.22,80.1,82.79,85.97,0.1,2.47,5.06,33.7,105.62,179.6,28.1,29.02,29.61,79.05,82.03,85.92,0.1,2.63,5.06,26.42,102.15,181.85,1332.58,1480.75,1576.11,28.42,83.33,1.91,100.28,28.97,81.02,1.91,156.94,29.09,79.96,1.91,126.99
STI1001,2024-01-01 02:10:00,28.1,28.64,29.0,80.44,82.56,85.34,1.16,2.46,4.73,29.32,73.94,117.79,28.1,29.13,29.53,79.06,80.71,82.51,0.1,2.69,5.15,43.34,107.87,164.33,29.09,29.35,29.89,78.1,80.15,82.17,1.08,2.84,5.15,48.7,109.94,183.27,1475.72,1616.21,1706.98,28.49,81.4,2.16,66.88,28.1,79.68,2.32,106.79,29.47,78.73,2.16,99.84
STI1001,2024-01-01 02:20:00,28.1,28.95,29.5,76.1,79.24,82.77,0.0,1.52,3.49,4.96,82.46,235.28,28.1,29.46,30.07,74.0,77.54,80.68,0.0,1.66,3.4,25.44,126.05,197.95,29.1,29.73,30.49,74.76,77.36,80.15,0.08,1.74,3.65,6.71,120.13,358.68,914.81,993.79,1043.2,29.25,77.44,0.83,77.83,29.64,75.82,0.75,166.52,29.1,76.23,0.83,153.82
STI1001,2024-01-01 02:30:00,29.08,29.38,29.81,75.75,78.72,81.24,0.1,1.53,3.4,3.21,59.38,236.71,29.1,29.81,30.19,74.82,76.89,78.58,0.1,1.79,3.82,0.69,86.87,356.55,29.1,30.0,30.59,75.1,77.24,79.09,0.1,2.02,4.4,5.01,92.84,358.14,919.68,1074.68,1213.66,29.62,76.73,1.49,45.14,29.82,75.24,1.83,65.24,30.0,75.73,1.91,102.47
STI1001,2024-01-01 02:40:00,29.21,29.49,29.85,76.04,77.6,80.43,0.1,2.4,5.64,21.28,72.32,120.48,29.1,29.88,30.25,74.1,76.02,78.14,0.1,2.59,5.64,29.76,109.44,178.95,29.1,30.1,30.63,75.1,76.66,78.82,1.08,2.76,5.73,12.41,103.07,208.07,1441.07,1551.91,1656.26,29.51,77.73,4.23,80.57,30.21,75.88,4.07,133.62,30.3,76.13,4.48,123.76
STI1001,2024-01-01 02:50:00,29.11,29.43,29.8,76.08,78.59,81.39,0.1,2.41,3.98,23.14,77.37,151.41,29.1,29.93,30.36,74.62,76.82,79.25,0.1,2.61,4.65,46.18,115.28,180.26,29.1,30.18,30.72,75.1,77.24,78.74,1.08,2.8,4.73,24.56,109.98,169.31,1446.31,1566.61,1677.12,29.52,80.92,3.15,99.84,30.23,79.03,3.49,175.28,30.38,78.56,3.32,136.46
