id_logger,date_time,tt4_min,tt4_avg,tt4_max,rh4_min,rh4_avg,rh4_max,ws4_min,ws4_avg,ws4_max,wd4_min,wd4_avg,wd4_max,tt7_min,tt7_avg,tt7_max,rh7_min,rh7_avg,rh7_max,ws7_min,ws7_avg,ws7_max,wd7_min,wd7_avg,wd7_max,tt10_min,tt10_avg,tt10_max,rh10_min,rh10_avg,rh10_max,ws10_min,ws10_avg,ws10_max,wd10_min,wd10_avg,wd10_max,sum_ws4,sum_ws7,sum_ws10,tt4_now,rh4_now,ws4_now,wd4_now,tt7_now,rh7_now,ws7_now,wd7_now,tt10_now,rh10_now,ws10_now,wd10_now
50010,2024-01-01 00:00:00,26.39,26.65,27.14,87.6,88.77,90.33,5,12.03,20,141.41,216.45,294.12,26.64,26.85,27.32,87.69,88.6,90.26,6,14.41,22,194.18,225.6,276.03,26.97,27.2,27.64,88.17,89.07,90.36,7,16.14,24,167.2,173.33,175.85,6543,7839,8781,26.79,87.82,14,183.44,27.01,87.92,16,207.54,27.4,88.44,11,173.3
50010,2024-01-01 00:10:00,26.57,26.87,27.42,86.08,87.12,88.2,5,13.14,24,0.0,208.86,267.85,26.82,27.06,27.43,86.22,87.15,88.29,8,16.37,26,181.62,216.54,244.64,27.12,27.4,27.83,86.73,87.63,88.87,10,18.27,28,169.66,172.62,174.12,6860,8544,9539,27.09,86.81,7,246.48,27.23,86.95,14,201.23,27.45,87.07,20,172.54
50010,2024-01-01 00:20:00,26.8,27.08,27.63,85.59,86.44,87.64,3,9.35,23,151.34,215.5,311.02,27.01,27.29,27.72,85.59,86.48,87.42,4,11.57,22,166.71,220.61,277.96,27.33,27.61,28.03,86.18,87.05,87.84,6,12.8,24,166.04,172.67,176.7,5313,6570,7269,27.15,85.63,12,222.58,27.44,86.09,12,219.22,27.79,86.78,17,170.8
50010,2024-01-01 00:30:00,27.03,27.38,27.96,84.11,85.23,86.6,2,7.87,14,69.32,204.15,312.87,27.25,27.61,28.15,83.91,85.21,86.44,1,8.82,17,142.62,216.07,353.2,27.61,27.95,28.52,84.53,85.75,86.82,2,10.43,20,140.28,170.59,177.56,4548,5098,6028,27.64,84.76,13,177.05,27.78,84.2,16,183.87,28.03,84.72,15,168.35
50010,2024-01-01 00:40:00,27.4,27.76,28.21,81.87,83.37,84.8,1,9.29,22,53.05,186.31,322.2,27.6,27.95,28.37,82.28,83.56,84.75,2,11.65,25,138.24,195.58,262.09,27.89,28.27,28.68,82.89,84.14,85.45,3,12.82,25,132.05,167.89,176.0,5275,6618,7280,27.99,82.63,7,203.94,27.88,82.89,10,200.7,28.35,83.52,7,170.26
50010,2024-01-01 00:50:00,27.66,27.97,28.58,81.27,82.2,83.25,0,5.96,16,5.82,155.56,359.93,27.82,28.17,28.77,81.01,82.32,83.67,0,6.35,17,32.78,162.3,341.17,28.08,28.52,29.11,81.33,82.85,84.01,0,7.05,19,30.71,142.84,178.87,3465,3689,4096,28.26,81.86,3,51.86,28.58,81.3,2,318.26,28.8,81.5,4,77.77
50010,2024-01-01 01:00:00,28.11,28.49,29.2,77.86,79.42,82.19,0,4.37,13,5.38,209.3,359.67,28.45,28.87,29.61,76.8,78.82,81.46,0,4.78,14,22.45,182.6,358.11,28.67,29.2,29.99,77.61,79.47,81.97,0,5.93,13,10.03,128.06,179.7,2489,2721,3375,28.54,77.88,7,189.24,29.28,77.17,10,195.58,29.65,78.1,9,170.51
50010,2024-01-01 01:10:00,28.47,28.86,29.53,76.02,77.79,78.93,0,7.56,18,7.32,183.5,306.58,28.87,29.22,29.71,76.41,77.66,78.94,1,9.37,20,25.89,191.84,304.25,29.19,29.52,29.96,77.17,78.36,79.62,1,10.88,22,71.05,159.18,176.93,4364,5406,6277,28.74,77.9,10,183.19,29.28,78.82,14,229.93,29.47,79.21,17,173.69
50010,2024-01-01 01:20:00,28.66,29.0,29.57,76.29,77.62,79.96,2,11.64,25,44.23,193.21,278.2,28.88,29.18,29.61,76.52,77.84,80.08,2,13.73,31,106.14,199.36,248.73,29.19,29.51,29.97,77.34,78.39,79.4,3,14.83,28,95.87,164.72,173.91,6586,7772,8395,29.05,76.43,9,170.12,29.4,77.56,11,193.76,29.61,78.13,15,168.23
50010,2024-01-01 01:30:00,28.97,29.39,30.07,74.78,76.55,78.58,3,11.47,27,109.85,208.36,288.96,29.19,29.62,30.19,75.15,76.79,78.98,1,13.03,26,55.4,200.28,286.51,29.49,29.94,30.52,75.97,77.37,79.33,6,14.16,29,110.93,165.82,175.19,6551,7440,8085,29.8,75.86,4,180.27,30.1,76.2,6,93.67,30.13,76.19,13,156.47
